year_month,spei_1,spei_3,spei_6
20060601,-1.48469955843876,,
20060701,-1.0582651271282,,
20060801,-0.416072836123498,-1.0964558037886,
20060901,-1.36883566528899,-1.11118457391369,
20061001,-0.765171668305182,-1.17729471472202,
20061101,0.619325341275158,-0.941457380512667,-1.1883684909087
20061201,0.671895075860695,0.471895257359843,-0.91126883606511
20070101,0.556865618605121,0.690961026264826,-0.0487441468462082
20070201,0.491685311837706,0.619171491817379,0.196741632755278
20070301,0.62378690075935,0.594648058959059,0.559600741055176
20070401,-0.297515213993448,0.090645450392596,0.448025818749801
20070501,1.34487960891517,0.695909580428973,0.670729905074658
20070601,1.41190946298017,1.27226482448525,1.11736089802783
20070701,-0.238409936093071,0.825688075562753,1.16220668519075
20070801,0.388504978823597,0.449621301069687,0.812955162345513
20070901,-1.01300051978392,-0.220174637373564,0.156149803296773
20071001,-2.12612880874855,-0.829368195894149,-0.0535543842823283
20071101,0.61657376364276,-1.08079324778283,0.00454858062406518
20071201,0.0130189717020791,-0.148153656989481,-0.414008503898703
20080101,0.572454676250663,0.501227399758675,0.0772087912437752
20080201,-0.25470217028779,0.0826501779501076,-0.24497311202635
20080301,0.921355490338606,0.317312375078919,0.125496112828832
20080401,1.4466357515734,0.87933444448886,0.702897353919142
20080501,0.567885800423906,1.22410041361756,0.688005944699161
20080601,-0.192678285335438,1.1125505240069,0.788588170117672
20080701,-0.0297286448782877,-0.273739813007043,0.883580160031238
20080801,-0.15099385058512,-0.148617920088283,0.548018585021403
20080901,-0.293359119828066,-0.0824080105330662,0.160227960546664
20081001,1.3594920567013,0.220571506517868,-0.0960061859178905
20081101,0.855888124099779,1.32782435181085,0.306523653621912
20081201,0.557968960691718,1.11307568225383,0.70354723982164
20090101,0.101296358843391,0.570317647872062,1.0224940132276
20090201,1.57947457580151,0.843775826354789,1.17943110207568
20090301,0.0443663707188482,0.693133341917131,0.937404584863344
20090401,0.455255277037296,0.877561476254662,0.748011575369116
20090501,-1.3482065755765,-0.120190865251529,0.353429611756539
20090601,-0.625482110253439,-0.697420337915429,0.163203683573966
20090701,-1.00786333924455,-1.47022085130046,-0.490976940187653
20090801,-1.55246949203519,-1.29984045052973,-1.60406676128956
20090901,-1.22991866733249,-1.4963935834872,-1.59356667553839
20091001,0.558079312493104,-1.42218307854282,-1.55087911469254
20091101,0.266881869465272,-0.596654784560279,-1.21530989646225
20091201,0.663565375050045,0.626165257624859,-1.17944437204425
20100101,0.822424843068148,0.650249894137425,-0.360003099192727
20100201,0.85815106762799,0.901755546934262,0.544292893104756
20100301,0.928282342209055,0.984288951414584,0.830375861734619
20100401,-0.143564027027997,0.45076213476748,0.602969558098494
20100501,1.30108519070954,0.814393490345341,0.927285261635847
20100601,0.370982320926164,0.841851157849988,1.0550051735726
20100701,-1.43890637164846,-0.608103444427434,0.232820623203136
20100801,-0.74407268635155,-0.899409603603907,-0.788115421387116
20100901,0.813698056846291,-0.701045767172399,-0.562744947157995
20101001,0.387240314974095,-0.00434681503444051,-0.404914197422222
20101101,0.60465234945061,1.35213755147861,-0.349953376764012
20101201,0.308091401739997,0.623260627207952,-0.383407328333233
20110101,0.183351556479688,0.429239785644054,0.709175091954698
20110201,0.395014090336093,0.302548607663595,0.808166699867009
20110301,0.461000107389871,0.33238297548492,0.4940308365899
20110401,-0.461244704544341,-0.0771025294441049,0.199501478408447
20110501,-1.66764063542902,-0.573609124142249,-0.157245234588657
20110601,0.0037253312690883,-1.23605241542528,-0.235891582228315
20110701,-0.246526177139694,-0.916541645953229,-0.656737823503277
20110801,-1.09232342173663,-0.580531448470386,-1.28380972899767
20110901,-1.00815959823414,-0.82828772518031,-1.31052558655572
